"Day Number","Day Label","Phase","Week","Is Milestone","Practice Paper #","Practice Paper Title","Practice Paper Duration","Physics Topic","Physics Class Concept","Physics Practice Target","Physics MCQ Count","Physics Subtopics","Chemistry Topic","Chemistry Class Concept","Chemistry Practice Target","Chemistry MCQ Count","Chemistry Subtopics","Biology Topic","Biology NCERT Concept","Biology Practice Target","Biology MCQ Count","Biology Subtopics","Total MCQs Target","PYQs Target","MCQ Breakdown","Revision Primary Task","Error Book Focus","NCERT Revision","Test Session"
"46","DAY 46","1","7","NO","","","","Mechanical Properties of Fluids: Viscosity, Stokes Law & Terminal Velocity","Newton law of viscous force F = -η A (dv/dx), coefficient of viscosity η; Stokes law for falling sphere F_v = 6πηrv; Terminal velocity formula v_t = 2/9 r² (ρ - σ) g / η","35 numericals on terminal velocity of raindrops and viscous drag force","35","Mechanical Properties of Fluids: Viscosity, Stokes Law & Terminal Velocity","Organic Chemistry: Some Basic Principles — Classification & IUPAC Nomenclature of Alkanes, Alkenes, Alkynes","Classification of organic compounds; rules of IUPAC nomenclature: longest carbon chain, lowest locant rule, alphabetical ordering of substituents, numbering polyfunctional hydrocarbons","35 IUPAC naming problems for branched hydrocarbons and cyclic alkanes","35","Organic Chemistry: Some Basic Principles — Classification & IUPAC Nomenclature of Alkanes, Alkenes, Alkynes","Biomolecules: Carbohydrates (Monosaccharides, Disaccharides, Polysaccharides)","Elemental analysis of living tissue (trichloroacetic acid soluble vs insoluble fraction); Monosaccharides (trioses, pentoses ribose/deoxyribose, hexoses glucose/fructose); Disaccharides (maltose, lactose, sucrose); Polysaccharides (starch iodine test, cellulose structural, glycogen storage, chitin fungal cell wall)","45 NCERT line-by-line MCQs on carbohydrate linkages (glycosidic bonds)","45","Biomolecules: Carbohydrates (Monosaccharides, Disaccharides, Polysaccharides)","115","35","P: 35 | C: 35 | B: 45 (incl. ~35 PYQs)","Terminal velocity dependence on radius squared (v_t ∝ r²)","IUPAC lowest locant set rule priority in Error Book","Carbohydrate reducing vs non-reducing sugars summary",""
"47","DAY 47","1","7","NO","","","","Mechanical Properties of Fluids: Surface Tension, Surface Energy & Capillarity","Molecular theory of surface tension T = F/L; surface energy per unit area U = T ΔA; excess pressure inside: liquid drop (ΔP = 2T/R), soap bubble (ΔP = 4T/R); angle of contact θ; capillary rise formula h = 2T cosθ / (ρ r g)","35 numericals on soap bubble excess pressure, work done in blowing bubble, capillary rise","35","Mechanical Properties of Fluids: Surface Tension, Surface Energy & Capillarity","Organic Chemistry: IUPAC Nomenclature of Functional Groups","Priority order of functional groups: -COOH > -SO3H > ester > acid chloride > amide > nitrile > aldehyde > ketone > alcohol > amine > double bond > triple bond; IUPAC naming of polyfunctional compounds","35 IUPAC nomenclature problems on polyfunctional organic compounds","35","Organic Chemistry: IUPAC Nomenclature of Functional Groups","Biomolecules: Amino Acids & Proteins (Primary, Secondary, Tertiary, Quaternary Structure)","20 standard amino acids (zwitterion structure, acidic, basic, neutral, aromatic); Peptide bond formation (-CONH-); Protein structures: Primary (sequence), Secondary (α-helix, β-pleated sheet stabilized by H-bonds), Tertiary (3D folding, active sites, disulfide bonds), Quaternary (hemoglobin 2α + 2β chains)","45 NCERT line-by-line MCQs on zwitterion pH and protein structure levels","45","Biomolecules: Amino Acids & Proteins (Primary, Secondary, Tertiary, Quaternary Structure)","115","35","P: 35 | C: 35 | B: 45 (incl. ~35 PYQs)","Capillary ascent in tube of insufficient length (liquid does not overflow, curvature radius changes)","Functional group priority order memorization in Error Book","Protein structural hierarchy diagrams and RuBisCO/collagen abundance facts",""
"48","DAY 48","1","7","NO","","","","Fluids & Solids: Full Unit Comprehensive Review & NEET PYQs","Review elasticity, Bernoulli principle, terminal velocity, surface tension, capillary rise with 10-year NEET PYQs","40 timed fluids and solids PYQs under 45 minutes","40","Fluids & Solids: Full Unit Comprehensive Review & NEET PYQs","Organic Chemistry: Structural Isomerism","Chain isomerism, position isomerism, functional group isomerism, metamerism, tautomerism (keto-enol tautomerism conditions and stability)","35 problems identifying structural isomers and drawing all possible isomers for given molecular formula","35","Organic Chemistry: Structural Isomerism","Biomolecules: Lipids & Nucleic Acids (DNA & RNA Nucleotides)","Lipids: fatty acids (saturated vs unsaturated palmitic/arachidonic acid), glycerol, triglycerides (fats/oils), phospholipids (lecithin in cell membrane); Nucleic acids: nitrogenous bases (purines: adenine, guanine; pyrimidines: cytosine, uracil, thymine), nucleosides, nucleotides with phosphodiester bonds","45 NCERT line-by-line MCQs on lecithin, nucleotides, and Chargaff base pairing","45","Biomolecules: Lipids & Nucleic Acids (DNA & RNA Nucleotides)","120","36","P: 40 | C: 35 | B: 45 (incl. ~36 PYQs)","Fluids formulas rapid revision check","Tautomerism alpha-hydrogen requirement in Error Book","Lecithin and nucleotide chemical structure diagrams review",""
"49","DAY 49","1","7","YES","","","","Thermal Properties of Matter: Temperature, Heat & Thermal Expansion","Temperature scales (Celsius, Fahrenheit, Kelvin interconversions); thermal expansion in solids: linear (ΔL = L₀ α ΔT), superficial (ΔA = A₀ β ΔT), volumetric (ΔV = V₀ γ ΔT); relationship α : β : γ = 1 : 2 : 3; anomalous expansion of water between 0°C and 4°C","35 numericals on bimetallic strips, thermal stress in clamped rods (Stress = Y α ΔT)","35","Thermal Properties of Matter: Temperature, Heat & Thermal Expansion","Organic Chemistry: Electronic Displacements — Inductive & Electromeric Effects","Inductive effect (+I and -I groups, permanent effect, distance dependent); electromeric effect (+E and -E, temporary effect in presence of attacking reagent); application of inductive effect to stability of carbocations, carbanions, carbon free radicals","35 problems ranking stability of reaction intermediates based on inductive effect","35","Organic Chemistry: Electronic Displacements — Inductive & Electromeric Effects","Biomolecules: Enzymes — Classification, Properties & Factors Affecting Activity","Enzymes as biocatalysts, lowering of activation energy; lock and key vs induced fit; factors affecting enzyme activity (temperature, pH, substrate concentration, Km Michaelis constant); competitive inhibition (malonate inhibits succinate dehydrogenase)","50 NCERT line-by-line MCQs on enzyme activation energy graph and competitive inhibition","50","Biomolecules: Enzymes — Classification, Properties & Factors Affecting Activity","120","36","P: 35 | C: 35 | B: 50 (incl. ~36 PYQs)","Week 7 Cumulative Revision: 720-minute rapid review across all Week 7 topics","Audit Week 7 Error Book: organic reaction intermediates and fluids review","Enzyme kinetics graphs (v vs [S], effect of competitive inhibitor)","MILESTONE TEST 7: Class 11 Week 7 Review (Fluids, IUPAC & Isomerism, Biomolecules)"
"50","DAY 50","1","8","NO","","","","Thermal Properties of Matter: Calorimetry & Latent Heat","Specific heat capacity s = Q / (m ΔT), molar heat capacity, water equivalent of calorimeter; principle of calorimetry (heat lost = heat gained); latent heat of fusion (ice L_f = 80 cal/g), latent heat of vaporization (steam L_v = 540 cal/g)","35 numericals on mixing ice and water/steam, finding final equilibrium temperature","35","Thermal Properties of Matter: Calorimetry & Latent Heat","Organic Chemistry: Resonance Effect (Mesomeric Effect) & Hyperconjugation","Resonance conditions (conjugation, planarity), +M and -M groups; resonance stability rules; hyperconjugation (no-bond resonance, Baker-Nathan effect, alpha-hydrogens count); application to carbocation stability and alkene stability","35 problems on drawing resonance structures and comparing carbocation/alkene stabilities","35","Organic Chemistry: Resonance Effect (Mesomeric Effect) & Hyperconjugation","Biomolecules: Full Chapter Comprehensive Review & NEET PYQs","Review carbohydrates, proteins, lipids, nucleic acids, dynamic state of body constituents, enzyme classification with 10-year NEET PYQs","50 timed biomolecules PYQs under 45 minutes","50","Biomolecules: Full Chapter Comprehensive Review & NEET PYQs","120","36","P: 35 | C: 35 | B: 50 (incl. ~36 PYQs)","Ice-water-steam mixture phase equilibrium calculation steps","Hyperconjugation alpha-hydrogen counting for alkenes in Error Book","Biomolecules NCERT tables (Table 9.1 to 9.5) thorough check",""
"51","DAY 51","1","8","NO","","","","Thermal Properties of Matter: Heat Transfer — Conduction, Convection & Radiation","Conduction: rate of heat flow dQ/dt = k A (T1 - T2) / L, thermal resistance R_th = L / (kA), combination of slabs in series and parallel; convection basics; radiation: blackbody, absorbing and reflecting power","35 numericals on equivalent thermal conductivity of composite slabs and junction temperature","35","Thermal Properties of Matter: Heat Transfer — Conduction, Convection & Radiation","Organic Chemistry: Types of Organic Reactions & Fission of Covalent Bonds","Homolytic fission (free radical formation) vs heterolytic fission (carbocations and carbanions); electrophiles (Lewis acids, electron deficient) vs nucleophiles (Lewis bases, electron rich); types of reactions: substitution, addition, elimination, rearrangement","35 problems identifying electrophilic vs nucleophilic centers","35","Organic Chemistry: Types of Organic Reactions & Fission of Covalent Bonds","Cell Cycle and Cell Division: Cell Cycle Phases (Interphase: G1, S, G2)","Cell cycle definition, duration; Interphase (G1 phase: cell metabolically active, organelle duplication; S phase: DNA replication, centriole duplication in cytoplasm, chromosome number remains 2n while DNA amount doubles 2C to 4C; G2 phase: protein synthesis); G0 quiescent stage","45 NCERT line-by-line MCQs on S phase DNA content and chromosome number","45","Cell Cycle and Cell Division: Cell Cycle Phases (Interphase: G1, S, G2)","115","35","P: 35 | C: 35 | B: 45 (incl. ~35 PYQs)","Thermal resistance equivalent formula analogous to electric resistors","Electrophile vs nucleophile classification in Error Book","Cell cycle phase pie chart diagram and S-phase ploidy facts",""
"52","DAY 52","1","8","NO","","","","Thermal Properties of Matter: Radiation Laws (Stefan-Boltzmann, Wien Displacement & Newton Cooling)","Stefan-Boltzmann law E = σ T⁴ (for non-blackbody E = e σ A T⁴); Wien displacement law λ_max T = b = constant; Newton law of cooling dQ/dt = -k (T - T₀), log cooling curve","35 numericals on temperature of stars, Newton cooling time problems","35","Thermal Properties of Matter: Radiation Laws (Stefan-Boltzmann, Wien Displacement & Newton Cooling)","Organic Chemistry: Purification Methods & Qualitative Analysis","Purification: distillation (fractional, steam, reduced pressure), crystallization, sublimation, chromatography (column, thin-layer, paper Rf value); Lassaigne test for N, S, halogens (Prussian blue for N, blood red for N+S, sodium nitroprusside for S)","35 conceptual MCQs on separation techniques and Lassaigne extract reactions","35","Organic Chemistry: Purification Methods & Qualitative Analysis","Cell Cycle and Cell Division: M Phase — Mitosis (Prophase, Metaphase, Anaphase, Telophase)","Karyokinesis stages: Prophase (chromatin condensation, centrosome movement, spindle fiber assembly); Metaphase (chromosomes align at equatorial plate, kinetochores attach to spindle fibers); Anaphase (centromere splits, sister chromatids move to opposite poles); Telophase (nuclear envelope reforms); Cytokinesis (cell plate in plants vs furrowing in animals)","45 NCERT line-by-line MCQs on metaphase plate and anaphase centromere splitting","45","Cell Cycle and Cell Division: M Phase — Mitosis (Prophase, Metaphase, Anaphase, Telophase)","115","35","P: 35 | C: 35 | B: 45 (incl. ~35 PYQs)","Newton law of cooling average temperature approximation formula","Lassaigne test chemistry (Fe4[Fe(CN)6]3 Prussian blue) in Error Book","Mitosis stage diagrams and kinetochore spindle attachment",""
"53","DAY 53","1","8","NO","","","","Thermodynamics: Zeroth Law, Heat, Work & First Law (ΔU = Q - W)","Zeroth law (concept of temperature); First law of thermodynamics dQ = dU + dW; thermodynamic processes: isobaric (W = P ΔV), isochoric (W = 0, Q = ΔU), isothermal (ΔU = 0, Q = W), adiabatic (Q = 0, W = -ΔU)","35 numericals on work done in various processes from P-V diagrams","35","Thermodynamics: Zeroth Law, Heat, Work & First Law (ΔU = Q - W)","Organic Chemistry: Quantitative Analysis (Dumas, Kjeldahl, Carius Methods)","Estimation of carbon & hydrogen (combustion); estimation of nitrogen: Dumas method (N2 gas volume at STP) & Kjeldahl method (%N = 1.4 N V / m); Carius method for halogens & sulfur; estimation of phosphorus","35 numericals on calculating % composition of N, halogens, S from analytical data","35","Organic Chemistry: Quantitative Analysis (Dumas, Kjeldahl, Carius Methods)","Cell Cycle and Cell Division: Meiosis I (Prophase I Sub-stages: Leptotene to Diakinesis)","Reductional division; Prophase I stages: Leptotene (compaction), Zygotene (synapsis, synaptonemal complex, bivalents), Pachytene (crossing over mediated by recombinase, non-sister chromatids of homologous chromosomes), Diplotene (dissolution of synaptonemal complex, chiasmata), Diakinesis (terminalization of chiasmata)","50 NCERT line-by-line MCQs on Prophase I stages and crossing over","50","Cell Cycle and Cell Division: Meiosis I (Prophase I Sub-stages: Leptotene to Diakinesis)","120","36","P: 35 | C: 35 | B: 50 (incl. ~36 PYQs)","Adiabatic process relation P V^γ = constant and work done formula","Kjeldahl method calculation formula (%N = 1.4 × N × V / weight) in Error Book","Meiosis Prophase I sub-stages mnemonic and key events summary",""
"54","DAY 54","1","8","NO","","","","Thermodynamics: Indicator Diagrams (P-V Curves) & Cyclic Processes","Work done in cyclic process = area enclosed by P-V loop (clockwise = positive work by gas, counter-clockwise = negative work); heat engine efficiency η = W / Q1 = 1 - Q2/Q1","35 numericals on finding net work and efficiency from polygonal P-V cycles","35","Thermodynamics: Indicator Diagrams (P-V Curves) & Cyclic Processes","Hydrocarbons: Alkanes — Preparation, Physical Properties & Conformations","Wurtz reaction, Kolbe electrolytic synthesis, decarboxylation of sodium salts; physical properties (boiling point branching effect); conformations of ethane (Newman and Sawhorse projections: staggered vs eclipsed, torsional strain)","35 problems on alkane synthesis and Newman projection stability","35","Hydrocarbons: Alkanes — Preparation, Physical Properties & Conformations","Cell Cycle and Cell Division: Meiosis II & Significance of Meiosis","Equational division; Meiosis II stages (Prophase II, Metaphase II, Anaphase II splitting of sister centromeres, Telophase II); end result: 4 haploid daughter cells; significance: conservation of chromosome number, genetic variability due to crossing over","45 NCERT line-by-line MCQs comparing Mitosis vs Meiosis and chromosome counts","45","Cell Cycle and Cell Division: Meiosis II & Significance of Meiosis","115","35","P: 35 | C: 35 | B: 45 (incl. ~35 PYQs)","Efficiency of heat engine from P-V loop area","Wurtz reaction limitations (cannot prepare unsymmetrical alkanes efficiently) in Error Book","Ethane Newman projections: dihedral angle and torsional strain review",""
"55","DAY 55","1","8","NO","","","","Thermodynamics: Carnot Engine, Carnot Cycle & Refrigerator (COP)","Carnot cycle (isothermal expansion, adiabatic expansion, isothermal compression, adiabatic compression); Carnot efficiency η = 1 - T2/T1; refrigerator coefficient of performance β = Q2 / W = T2 / (T1 - T2); relation between η and β (β = (1 - η) / η)","35 numericals on Carnot efficiency and refrigerator temperature changes","35","Thermodynamics: Carnot Engine, Carnot Cycle & Refrigerator (COP)","Hydrocarbons: Alkanes — Chemical Reactions (Free Radical Halogenation)","Mechanism of chlorination of methane (initiation, propagation, termination); reactivity of halogens (F2 > Cl2 > Br2 > I2); selectivity of bromination vs chlorination; combustion, controlled oxidation, aromatization, cracking/pyrolysis","35 problems predicting major mono-chloro and mono-bromo derivatives","35","Hydrocarbons: Alkanes — Chemical Reactions (Free Radical Halogenation)","Photosynthesis in Higher Plants: Chloroplast Pigments & Light Reaction","Pigments (chlorophyll a reaction center, chlorophyll b, carotenoids, xanthophylls); absorption spectrum vs action spectrum; Photosystem I (P700) and Photosystem II (P680); light harvesting complex (LHC); photolysis of water on inner thylakoid membrane","45 NCERT line-by-line MCQs on pigment spectra and water splitting complex","45","Photosynthesis in Higher Plants: Chloroplast Pigments & Light Reaction","115","35","P: 35 | C: 35 | B: 45 (incl. ~35 PYQs)","Carnot efficiency upper limit dependence on reservoir temperatures","Free radical chlorination relative rates (3° > 2° > 1°) in Error Book","Absorption vs action spectrum graphs of chlorophyll a and b",""
"56","DAY 56","1","8","YES","","","","Thermodynamics & Heat: Full Chapter Comprehensive Review & NEET PYQs","Review all thermal properties, conduction, radiation laws, 1st law thermodynamics, Carnot cycles with 10-year NEET PYQs","40 timed thermodynamics PYQs under 45 minutes","40","Thermodynamics & Heat: Full Chapter Comprehensive Review & NEET PYQs","Hydrocarbons: Alkenes — Preparation & Geometrical Isomerism","Preparation by dehydrohalogenation of alkyl halides (Saytzeff rule: more substituted alkene is major), dehydration of alcohols (carbocation rearrangement); geometrical isomerism (cis vs trans, dipoles, boiling point and melting point comparison)","35 problems on predicting major alkene products and cis-trans isomerism","35","Hydrocarbons: Alkenes — Preparation & Geometrical Isomerism","Photosynthesis in Higher Plants: Electron Transport (Z-Scheme) & Cyclic vs Non-cyclic Photophosphorylation","Non-cyclic photophosphorylation (PS II to PS I, ATP and NADPH2 produced, O2 evolved); cyclic photophosphorylation (PS I only, stroma lamellae lacking PS II and NADP reductase, only ATP produced); Chemiosmotic hypothesis (Mitchell: proton gradient across thylakoid membrane into lumen, ATP synthase F0-F1)","50 NCERT line-by-line MCQs on Z-scheme and chemiosmosis proton accumulation","50","Photosynthesis in Higher Plants: Electron Transport (Z-Scheme) & Cyclic vs Non-cyclic Photophosphorylation","125","38","P: 40 | C: 35 | B: 50 (incl. ~38 PYQs)","Thermodynamics formula cheat sheet audit","Cis vs trans isomer dipole moment and melting point comparison in Error Book","Z-scheme diagram and thylakoid membrane proton gradient review","MILESTONE TEST 8: Class 11 Week 8 Review (Heat, Alkanes/Alkenes, Cell Division & Photosynthesis I)"
"57","DAY 57","1","9","NO","","","","Kinetic Theory of Gases (KTG): Ideal Gas Equation & Molecular Speeds","Assumptions of KTG, pressure exerted by gas P = ⅓ ρ v_rms²; root-mean-square speed v_rms = √(3RT/M), average speed v_avg = √(8RT/πM), most probable speed v_mp = √(2RT/M); ratio v_mp : v_avg : v_rms = 1 : 1.128 : 1.224","35 numericals on molecular speeds at different temperatures and molar masses","35","Kinetic Theory of Gases (KTG): Ideal Gas Equation & Molecular Speeds","Hydrocarbons: Alkenes — Electrophilic Addition Reactions (Markovnikov & Anti-Markovnikov)","Addition of hydrogen halides (HX): Markovnikov rule (electrophile H+ adds to carbon with more H); Peroxide effect (Kharasch effect: anti-Markovnikov addition of HBr only, via free radical mechanism); addition of halogens (Br2 in CCl4 test for unsaturation)","35 problems on predicting addition products of HX and HBr/peroxide to asymmetrical alkenes","35","Hydrocarbons: Alkenes — Electrophilic Addition Reactions (Markovnikov & Anti-Markovnikov)","Photosynthesis in Higher Plants: Dark Reaction — C3 Cycle (Calvin Cycle)","Biosynthetic phase in stroma; RuBisCO enzyme (oxygenase vs carboxylase activity); 3 stages: (1) Carboxylation (CO2 + RuBP -> 2 molecules of 3-PGA), (2) Reduction (utilizes 2 ATP and 2 NADPH per CO2), (3) Regeneration (1 ATP); input-output balance: 6 turns of Calvin cycle consume 18 ATP and 12 NADPH to produce 1 Glucose","50 NCERT line-by-line MCQs on Calvin cycle energy requirements","50","Photosynthesis in Higher Plants: Dark Reaction — C3 Cycle (Calvin Cycle)","120","36","P: 35 | C: 35 | B: 50 (incl. ~36 PYQs)","Gas molecular speeds ratio (v_rms > v_avg > v_mp)","Anti-Markovnikov addition works only with HBr, not HCl or HI in Error Book","Calvin cycle stage-wise ATP and NADPH consumption table",""
"58","DAY 58","1","9","NO","","","","KTG: Degrees of Freedom, Equipartition of Energy & Specific Heats of Gases","Degrees of freedom f (monoatomic = 3, diatomic = 5 at room temp, polyatomic = 6); law of equipartition of energy (½ k_B T per degree of freedom); internal energy U = f/2 n R T; molar specific heat Cv = f/2 R, Cp = (f/2 + 1) R; adiabatic index γ = Cp/Cv = 1 + 2/f","35 numericals on mixture of non-reacting gases (Cv_mix, Cp_mix, γ_mix)","35","KTG: Degrees of Freedom, Equipartition of Energy & Specific Heats of Gases","Hydrocarbons: Alkenes — Oxidation, Ozonolysis & Polymerization","Oxidation with cold dilute alkaline KMnO4 (Baeyer reagent: syn-dihydroxylation to vicinal glycols); hot acidic KMnO4 cleavage; Ozonolysis (O3 followed by Zn/H2O cleavage to aldehydes/ketones, determining structure of unknown alkene)","35 problems deducing parent alkene structure from ozonolysis carbonyl products","35","Hydrocarbons: Alkenes — Oxidation, Ozonolysis & Polymerization","Photosynthesis in Higher Plants: C4 Pathway (Hatch-Slack Pathway) & Photorespiration","C4 plants (maize, sugarcane, sorghum); Kranz anatomy (bundle sheath cells with agranal chloroplasts, mesophyll cells with PEP carboxylase); Hatch-Slack pathway stages (PEP + CO2 -> OAA); Photorespiration (C2 cycle: RuBisCO binds O2, phosphoglycolate formation, wasteful process absent in C4 plants); Factors affecting photosynthesis (Blackman law of limiting factors)","50 NCERT line-by-line MCQs on C4 pathway and Blackman limiting factors","50","Photosynthesis in Higher Plants: C4 Pathway (Hatch-Slack Pathway) & Photorespiration","120","36","P: 35 | C: 35 | B: 50 (incl. ~36 PYQs)","Specific heat ratio of gas mixtures (Cv_mix = (n1 Cv1 + n2 Cv2)/(n1 + n2))","Ozonolysis cleavage product reconstruction shortcuts in Error Book","C3 vs C4 plants comparative table 13.1 review",""
"59","DAY 59","1","9","NO","","","","Oscillations: Simple Harmonic Motion (SHM) Kinematics","Periodic vs oscillatory motion; SHM definition F = -kx, differential equation d²x/dt² + ω²x = 0; displacement x = A sin(ωt + φ), velocity v = ω√(A² - x²), acceleration a = -ω²x; phase and phase constant","35 numericals on displacement, velocity, acceleration at fractions of amplitude","35","Oscillations: Simple Harmonic Motion (SHM) Kinematics","Hydrocarbons: Alkynes — Preparation & Acidic Nature of Terminal Alkynes","Preparation from calcium carbide (CaC2 + 2H2O -> C2H2 + Ca(OH)2) and vicinal dihalides; acidic character of terminal alkynes (sp hybridized carbon electronegativity: ethyne > ethene > ethane); reaction with Na/NaNH2 and ammoniacal AgNO3 / Cu2Cl2","35 problems on distinguishing terminal vs internal alkynes and acidity rankings","35","Hydrocarbons: Alkynes — Preparation & Acidic Nature of Terminal Alkynes","Respiration in Plants: Glycolysis (EMP Pathway)","Cellular respiration in cytoplasm; 10-step EMP pathway (Embden-Meyerhof-Parnas); phosphorylation of glucose by hexokinase; rate-limiting phosphofructokinase (PFK); cleavage into DHAP and PGAL; net yield per glucose: 2 Pyruvate, 2 ATP (substrate level), 2 NADH2; fate of pyruvate under anaerobic conditions (fermentation: lactic acid vs alcoholic)","50 NCERT line-by-line MCQs on glycolysis enzymes and ATP generation steps","50","Respiration in Plants: Glycolysis (EMP Pathway)","120","36","P: 35 | C: 35 | B: 50 (incl. ~36 PYQs)","SHM velocity and acceleration phase difference (v leads x by π/2, a leads x by π)","Terminal alkyne precipitate test (Tollens reagent white ppt) in Error Book","Glycolysis 10-step metabolic pathway flowchart review",""
"60","DAY 60","1","9","NO","","","","Oscillations: Energy in SHM (Kinetic, Potential & Total Energy)","Kinetic energy K = ½mω²(A² - x²), Potential energy U = ½mω²x² = ½kx²; Total mechanical energy E = K + U = ½mω²A² = constant; energy-displacement and energy-time graphs; average KE and average PE over full time period = ¼mω²A²","35 numericals on positions where KE = PE, fraction of energy at given x","35","Oscillations: Energy in SHM (Kinetic, Potential & Total Energy)","Hydrocarbons: Alkynes — Chemical Reactions (Addition of H2, X2, HX, H2O & Ozonolysis)","Controlled hydrogenation (Lindlar catalyst Pd/CaCO3 gives cis-alkene; Birch reduction Na/liquid NH3 gives trans-alkene); addition of water (Kucherov reaction: 1% HgSO4 + 20% H2SO4 to give enol -> ketone/acetaldehyde); cyclic polymerization to benzene","35 problems on Lindlar vs Birch reduction and Kucherov hydration products","35","Hydrocarbons: Alkynes — Chemical Reactions (Addition of H2, X2, HX, H2O & Ozonolysis)","Respiration in Plants: Aerobic Respiration — Link Reaction & Krebs Cycle (TCA Cycle)","Oxidative decarboxylation of pyruvate in mitochondrial matrix by pyruvate dehydrogenase (yields Acetyl-CoA, NADH2, CO2); Krebs cycle (Citric acid cycle): condensation of Acetyl-CoA with OAA to form Citric acid; step-wise decarboxylations and dehydrogenations; net yield per glucose: 6 NADH2, 2 FADH2, 2 GTP (ATP), 4 CO2","50 NCERT line-by-line MCQs on TCA cycle steps and substrate-level phosphorylation","50","Respiration in Plants: Aerobic Respiration — Link Reaction & Krebs Cycle (TCA Cycle)","120","36","P: 35 | C: 35 | B: 50 (incl. ~36 PYQs)","Position where KE = PE in SHM (x = ± A / √2)","Lindlar (cis) vs Birch (trans) stereochemistry distinction in Error Book","Krebs cycle intermediate steps and carbon counts review",""
"61","DAY 61","1","9","NO","","","","Oscillations: Simple Pendulum & Spring-Mass Systems","Simple pendulum time period T = 2π√(L/g), seconds pendulum (T = 2s, L ≈ 1m); spring-mass system T = 2π√(m/k), combination of springs in series (1/k_eq = 1/k1 + 1/k2) and parallel (k_eq = k1 + k2); cutting of spring into pieces","35 numericals on springs in series/parallel, cutting springs, pendulum in elevator","35","Oscillations: Simple Pendulum & Spring-Mass Systems","Hydrocarbons: Aromatic Hydrocarbons — Benzene Structure & Aromaticity (Hückel Rule)","Kekulé structure, resonance in benzene, stability energy; Hückel (4n + 2) π-electron rule for aromaticity; conditions: cyclic, planar, complete conjugation; antiaromatic (4n π-electrons) vs non-aromatic species","35 problems testing aromatic, antiaromatic, non-aromatic classification","35","Hydrocarbons: Aromatic Hydrocarbons — Benzene Structure & Aromaticity (Hückel Rule)","Respiration in Plants: Electron Transport System (ETS) & Oxidative Phosphorylation","Inner mitochondrial membrane complexes: Complex I (NADH dehydrogenase), Complex II (succinate dehydrogenase), Complex III (cytochrome bc1), Complex IV (cytochrome c oxidase), Complex V (ATP synthase); mobile electron carriers (ubiquinone, cytochrome c); oxygen as terminal electron acceptor; total ATP balance per glucose (36 or 38 ATP, modern 30-32 ATP); Respiratory Quotient (RQ: carbohydrates = 1, fats = 0.7, proteins = 0.9, organic acids > 1)","50 NCERT line-by-line MCQs on mitochondrial ETS complexes and RQ values","50","Respiration in Plants: Electron Transport System (ETS) & Oxidative Phosphorylation","120","36","P: 35 | C: 35 | B: 50 (incl. ~36 PYQs)","Spring constant of spring cut into n equal parts becomes n times k","Hückel rule 4n+2 counting for charged rings (cyclopentadienyl anion) in Error Book","Mitochondrial ETS complex diagram and mobile carrier locations",""
"62","DAY 62","1","9","NO","","","","Oscillations: Angular SHM, Physical Pendulum & Damped/Forced Oscillations","Angular SHM differential equation d²θ/dt² + ω²θ = 0, torsional pendulum T = 2π√(I/C); physical pendulum T = 2π√(I / mgd); damped oscillations (amplitude decay A(t) = A₀ e^(-bt/2m)); forced oscillations and resonance condition","35 numericals on physical pendulum and resonance condition","35","Oscillations: Angular SHM, Physical Pendulum & Damped/Forced Oscillations","Hydrocarbons: Benzene — Electrophilic Aromatic Substitution (EAS) Mechanism","General EAS mechanism: generation of electrophile, formation of arenium ion (sigma complex), loss of proton to restore aromaticity; specific reactions: Halogenation (Cl2/FeCl3), Nitration (conc. HNO3 + conc. H2SO4 generates NO2⁺), Sulfonation (fuming H2SO4)","35 problems on EAS reagents and electrophile identities","35","Hydrocarbons: Benzene — Electrophilic Aromatic Substitution (EAS) Mechanism","Plant Growth and Development: Plant Growth Regulators — Auxins & Gibberellins","Phytohormones: Auxins (IAA, IBA natural; NAA, 2,4-D synthetic; apical dominance, rooting of stem cuttings, 2,4-D broadleaved weedicide); Gibberellins (GA3; bolting in rosette plants cabbage/beet, increasing length of grape stalks and sugarcane stems, malt production in brewing)","45 NCERT line-by-line MCQs on auxin apical dominance and gibberellin bolting","45","Plant Growth and Development: Plant Growth Regulators — Auxins & Gibberellins","115","35","P: 35 | C: 35 | B: 45 (incl. ~35 PYQs)","Damped oscillation amplitude half-life relation","Nitration of benzene electrophile is nitronium ion (NO2⁺) in Error Book","Auxin vs Gibberellin discovery and agricultural functions table",""
